passengers,airport
64532100,Istanbul Ataturk Airport
57489961,Paris Charles de Gaulle Airport
52472929,Amsterdam Airport Schiphol
50282631,Adolfo Suarez Madrid-Barajas Airport
48894268,Frankfurt Airport
42025639,Barcelona El Prat Airport
31632815,Munich Airport
31285749,Antalya Airport
30750627,Sabiha Gokcen International Airport
29521062,Rome–Fiumicino International Airport
28946299,Palma de Mallorca Airport
28256175,Lisbon Portela Airport
27793345,Dublin Airport
24361850,Athens International Airport (Eleftherios Venizelos Airport)
23913206,Vienna International Airport
22521754,Zurich Airport
22390533,Oslo Airport
22120771,Copenhagen Airport
21453367,Milan-Malpensa Airport
19840576,Berlin Schonefeld Airport
19840576,Berlin Brandenburg Airport
18977655,Brussels Airport (Zaventem Airport)
18526666,Malaga Airport
18488899,Stockholm Arlanda Airport
16063192,Dusseldorf Airport
14406194,Warsaw Chopin Airport
14036886,Geneva Airport
13294914,Alicante-Elche Airport
12979358,Helsinki Airport (Helsinki-Vantaa Airport)
12633496,Francisco Sá Carneiro Airport
12633496,Francisco de Sa Carneiro Airport
12597838,Bucharest Henri Coandă International Airport
12423941,Gran Canaria Airport
12147308,Budapest Ferenc Liszt International Airport
12133508,Nice Cote d'Azur Airport
11094463,Hamburg Airport
10917285,Naples International Airport
10723439,Vaclav Havel Airport Prague
10104028,Catania-Fontanarossa Airport
9321116,Venice Marco Polo Airport
9148289,Marseille Provence Airport
8753978,Cologne Bonn Airport
8707186,Ankara Esenboğa Airport
8707186,Esenboga International Airport
8571918,Lyon-Saint-Exupery Airport
8571106,Bologna Guglielmo Marconi Airport
8257292,Brussels South Charleroi Airport
8228358,Ibiza Airport
8156601,Faro Airport
8116366,Valencia Airport
7918413,Heraklion International Airport (Nikos Kazantzakis Airport)
7392069,John Paul II International Airport Krakow-Balice
7379798,Lanzarote Airport
7189951,Falcone-Borsellino Airport (Punta Raisi Airport)
7050389,Toulouse-Blagnac Airport
6984655,Stuttgart Airport
6845789,Seville Airport
6340112,Eindhoven Airport
6266521,Bari Karol Wojtyla Airport
6096458,Keflavík International Airport
5995127,Larnaca International Airport
5947910,Sofia Airport
5945937,Thessaloniki Airport
5898111,Rhodes International Airport
5877744,Bergen Airport
5864738,Malta International Airport (Luqa Airport)
5800202,Nantes Atlantique Airport
5723563,Bordeaux-Merignac Airport
5660125,Fuerteventura Airport
5610527,Belgrade Nikola Tesla Airport
5369651,Riga International Airport
5216603,Bilbao Airport
4560483,Gdansk Lech Walesa Airport
4555957,Dalaman Airport
4506759,Pisa International Airport (Galileo Galilei Airport)
4457356,Goteborg Landvetter Airport
4437969,Cagliari Elmas Airport
4429621,Katowice International Airport
4229840,Turin Airport (Caselle Airport)
4226339,Adana Sakirpasa Airport
4055779,Luxembourg Findel Airport
3961465,Hannover Airport
3940123,Menorca Airport (Mahon Airport)
3921794,Milas-Bodrum Airport
3912186,Vilnius Airport
3879582,Trondheim Airport
3873318,Madeira Airport
3759467,Corfu International Airport (Ioannis Kapodistrias Int'l Airport)
3707165,Billund Airport
3339411,Stavanger Airport
3308518,Chania International Airport
3293564,Santiago de Compostela Airport
3267100,Nuremberg Airport
3187269,Trabzon Airport
3177855,Paphos International Airport
3161713,Olbia Costa Smeralda Airport
3124944,Warsaw Modlin Airport
3111721,Zagreb Airport
3102454,Brindisi - Salento Airport
2986016,Verona Villafranca Airport
2906648,Split Airport
2877108,Copernicus Airport Wroclaw
2826338,Kos Island International Airport
2782936,Santorini (Thira) National Airport
2731536,Tallinn Airport (Lennart Meri Tallinn Airport)
2660174,Lamezia Terme International Airport
2648169,Cluj-Napoca International Airport
2634073,Treviso-Sant'Angelo Airport
2584029,Dortmund Airport
2405578,Tromse Airport
2382731,Roland Garros Airport
2358160,Erkilet International Airport
2325920,Gaziantep Oguzeli International Airport
2238455,Cork Airport
2224222,Florence Airport
2222094,Poznań–Ławica Henryk Wieniawski Airport
2149418,Dubrovnik Airport
2134988,Skopje Alexander the Great Airport
2130430,Pointe-a-Pitre International Airport (Le Raizet Airport)
2125069,Rotterdam The Hague Airport
2074336,Joao Paulo II Airport
1988291,Memmingen Airport
1905966,Zakynthos International Airport (Dionysios SolomosAirport)
1792774,Bodo Airport
1786471,Martinique Aime Cesaire International Airport
1783902,Lille Airport (Lille-Lesquin Airport)
1761208,Montpellier-Mediterranee Airport (Frejorgues Airport)
1725057,Sandefjord Airport
1711044,Mykonos Island National Airport
1676319,Diyarbakir Airport
1662634,Ajaccio Napoleon Bonaparte Airport
1637826,Burgas Airport
1557822,Leipzig/Halle Airport
1536415,Iasi International Airport
1535930,Alghero-Fertilia Airport
1492662,Bremen Airport
1489824,Varna Airport
1489503,Bastia - Poretta Airport
1479500,Asturias Airport (Oviedo Airport)
1421957,Shannon Airport
1406284,M. R. Stefanik Airport
1376227,Frankfurt-Hahn Airport
1339887,Aalborg Airport
1316082,La Palma Airport
1311166,Van Ferit Melen Airport
1310255,Girona-Costa Brava Airport
1304569,Karlsruhe/Baden-Baden Airport
1262765,Podgorica Airport
1244528,Salzburg Airport
1232440,Genoa Cristoforo Colombo Airport
1206379,Samsun-Carsamba Airport
1199740,Timisoara Traian Vuia International Airport
1148556,Kaunas International Airport
1105571,Santander Airport
1103608,Zadar Airport
1058351,Hatay Airport
1036848,Weeze Airport (Niederrhein Airport)
985609,A Coruna Airport
969204,Vigo-Peinador Airport
968811,Ljubljana Joze Pucnik Airport (Brnik Airport)
931992,Strasbourg Airport
931610,Biarritz Pays Basque Airport
930391,Alesund Airport
928843,Federico Garcia Lorca Airport (Granada Jaen Airport)
917282,Jerez Airport (La Parra Airport)
912116,Lulea Airport (Kallax Airport)
900315,Vincenzo Florio Airport
895400,Figari-Sud Corse Airport
867439,Erzurum Airport
848565,Region de Murcia International Airport
839806,Munster Osnabruck International Airport
837627,Dresden Airport
832655,Kefalonia International Airport
828491,Harstad/Narvik Airport
813831,Ordu-Giresun Airport
806104,Konya Airport
794196,Aktion National Airport
792651,Brest Bretagne Airport
763318,Suceava International Airport (Stefan cel Mare Int'l)
739686,Kristiansand Airport
726695,Innsbruck Airport (Kranebitten Airport)
713217,Abruzzo Airport
709634,Gazipasa-Alanya Airport
709540,Ireland West Airport Knock
705799,Almeria Airport
697728,Trieste - Friuli Venezia Giulia Airport
683302,Elazig Airport
683035,Rzeszow-Jasionka Airport
677705,Lajes Field
665907,Malatya Erhac Airport
645787,Tivat Airport
641948,Sanliurfa GAP Airport
636993,Rennes-Saint-Jacques Airport
636527,Oulu Airport
629243,Zaragoza Airport
622713,Sibiu International Airport
609425,Umea Airport
599722,Mardin Airport
568833,Graz Airport
565091,Rovaniemi Airport
556256,Bacau International Airport
541210,Kosice International Airport
531332,Skiathos Island National Airport
527148,Rize Artvin Airport
506460,Haugesund Airport
499172,Paderborn Lippstadt Airport
490147,Samos International Airport
489585,Cayenne - Felix Eboue Airport
480320,Brno-Turany Airport
475587,Craiova International Airport
466605,Ancona Falconara Airport
465256,Kars Harakani Airport
452241,Mytilene International Airport
444274,Melilla Airport
434154,Nevsehir Kapadokya Air
427841,Toulon-Hyeres Airport (Hyeres Le Palyvestre Airport)
424903,Batman Airport
420119,Aarhus Airport
419872,Solidarity Szczecin-Goleniow Airport
414474,Perpignan-Rivesaltes Airport
402227,Tarbes-Lourdes-Pyrenees Airport
397789,Pula Airport
393969,Dzaoudzi-Pamandzi International Airport
393051,Denizli Cardak Airport
389018,Nis Constantine the Great Airport
374903,Kittila Airport
372760,Perugia San Francesco d'Assisi - Umbria International Airport
368963,Comiso Airport
367352,Sivas Airport
365410,Pau Pyrenees Airport
361258,Ostend-Bruges International Airport
355043,Kerry Airport (Farranfore Airport)
352981,Molde Airport
349120,Kalamata International Airport
347750,Calvi - Sainte-Catherine Airport
347617,Mus Airport
346547,Alta Airport
331450,Reykjavík Airport
329439,Lublin Airport
325842,Lampedusa Airport
315205,Friedrichshafen Airport (Bodensee Airport)
301541,Caen - Carpiquet Airport
300476,Saarbrucken Airport
299058,Erzincan Airport
296173,Paros National Airport
295138,Leos Janacek Airport
294833,Visby Airport
289875,Maastricht Aachen Airport
282798,Sirnak Airport
279158,Carcassonne Airport
274483,Palanga International Airport
273498,El Hierro Airport
269567,Skelleftea Airport
269306,Karpathos Island National Airport
263716,Horta Airport
258884,Kavala International Airport (Alexander the Great Airport)
258032,Kirkenes Airport
253119,Bydgoszcz Ignacy Jan Paderewski Airport
249448,Debrecen International Airport
247883,Alexandroupoli Airport (Dimokritos Airport)
234169,Vitoria Airport
232440,Chios Island National Airport
222170,Agri Airport
221589,Balikesir Koca Seyit Airport
221336,Antwerp International Airport
220496,Bergerac Dordogne Perigord Airport
220289,Are Ostersund Airport
219935,Porto Santo Airport
218871,Kristiansund Airport
218791,Beziers Cap d'Agde Airport
217193,Ivalo Airport
216400,Federico Fellini International Airport
214199,Linz Airport (Blue Danube Airport)
213136,Igdir Airport
203480,Reggio di Calabria Airport
197575,Grenoble-Isere Airport
195982,Kiruna Airport
194366,Akureyri Airport
193849,L'Esperance Airport (Grand Case Airport)
193450,Bornholm Airport
192513,Angelholm-Helsingborg Airport
191568,Limoges - Bellegarde Airport
189680,Hammerfest Airport
187426,Clermont-Ferrand Auvergne Airport
186078,Pantelleria Airport
184829,Nimes-Ales-Camargue-Cevennes Airport (Garons Airport)
182423,Adiyaman Airport
180937,Lodz Wladyslaw Reymont Airport
180865,La Rochelle - Ile de Re Airport
180125,Bardufoss Airport
178506,Pico Airport
176900,Tours Val de Loire Airport
175794,Kahramanmaras Airport
173379,Crotone Airport (Sant'Anna Airport)
169992,Svalbard Airport
168956,Tampere-Pirkkala Airport
162177,Rijeka Airport
159214,Liege Airport
152834,Canakkale Airport
149252,Vaxjo Smaland Airport
145109,Vadso Airport
138772,Bronnoysund Airport
137605,Erfurt-Weimar Airport
137432,Stokmarknes Airport
133879,Bingol Airport
133556,Turku Airport
132042,Mo i Rana Airport
126836,Sogndal Airport
126586,Kuopio Airport
123241,Naxos Island National Airport
122485,Lemnos International Airport
121030,Chambery-Savoie Airport
119410,Kuusamo Airport
115623,Hakkari Yuksekova Airport
114157,Vaasa Airport
113251,Olsztyn-Mazury Regional Airport
112630,Santa Maria Airport
112535,Yenisehir Airport
109770,Zonguldak Airport
109010,Anadolu Airport
108848,Kalmar Airport
106677,Orsta-Volda Airport
106460,Groningen Airport Eelde
105328,Leknes Airport
104575,Floro Airport
101499,Ronneby Airport
99144,Araxos Airport
93233,Amasya Merzifon Airport
92453,Ioannina National Airport
89333,Flores Airport
88445,Tokat Airport
87723,Sao Jorge Airport
85923,Pardubice Airport
85518,Milos Island National Airport
83719,Sandnessjoen Airport
83714,Klagenfurt Airport
78868,Mosjoen Airport
78119,Esbjerg Airport
72410,Isparta Suleyman Demirel Airport
70246,Sinop Airport
67796,Orebro Airport
62974,Graciosa Airport
58554,Rostock-Laage Airport
57227,Zafer Airport
56646,Ikaria Island National Airport
50918,Siirt Airport
48613,Sundsvall-Timra Airport (Midlanda Airport)
47810,Linkoping City Airport
47247,Sonderborg Airport
46220,Tekirdag Corlu Airport
45024,Nea Anchialos National Airport
44305,Kastamonu Airport
43686,Metz-Nancy-Lorraine Airport
35683,Kithira Island National Airport
35264,Bern Airport
35202,Karup Airport
31549,Kokkola-Pietarsaari Airport
26747,Mariehamn Airport
26074,Kajaani Airport
25325,St. Gallen-Altenrhein Airport
24927,Kemi-Tornio Airport
22314,Sitia Public Airport
22279,Astypalaia Island National Airport
19401,Joensuu Airport
18745,Skyros Island National Airport
18689,Leros Municipal Airport
16052,Syros Island National Airport
15150,Roskilde Airport
13969,Kalymnos Island National Airport
12768,Cascais Municipal Aerodrome
11854,Jonkoping Airport
11639,Pori Airport
10968,Jyvaskyla Airport
10774,Corvo Airport
8533,Saint-Nazaire Montoir Airport
8187,Viseu Airport
7193,Portimao Airport
6289,Kastellorizo Island Public Airport
5273,Karlovy Vary Airport
4180,Sion Airport
3958,Braganca Airport
3701,Ornskoldsvik Airport
3651,Kozani National Airport (Filippos Airport)
3320,Kastoria National Airport (Aristotelis Airport)
3178,Brescia Airport (Gabriele D'Annunzio Airport)
3165,Savonlinna Airport
2753,Kasos Island Public Airport
1767,Cengiz Topel Naval Air Station
946,Beja Airport
654,Siauliai International Airport
588,Lugano Airport
22,Thisted Airport
