passengers_2019,resta,airport,latitude,longitude,group
76195486,-24.54938734822165,Paris Charles de Gaulle Airport,49.0097,2.54778,Negative
71742574,-26.859427987626983,Amsterdam Airport Schiphol,52.3086,4.76389,Negative
70634781,-30.778764642874734,Frankfurt Airport,50.0333,8.57056,Negative
59816612,-15.93868439088459,Adolfo Suarez Madrid-Barajas Airport,40.4719,-3.56264,Negative
52031566,24.02490442052042,Istanbul Ataturk Airport,41.2753,28.7519,Positive
51754419,-18.797969696075615,Barcelona El Prat Airport,41.2971,2.07846,Negative
47963043,-34.04752279791756,Munich Airport,48.3538,11.7861,Negative
43657541,-32.38038303623193,Rome–Fiumicino International Airport,41.8003,12.2389,Negative
36221258,-13.626001062690865,Antalya Airport,36.8987,30.8005,Negative
35566701,-13.540963498413868,Sabiha Gokcen International Airport,40.8986,29.3092,Negative
32676251,-14.943287098633192,Dublin Airport,53.4213,-6.27007,Negative
31783420,-24.76201113662406,Vienna International Airport,48.1103,16.5697,Negative
31510469,-28.526122540416647,Zurich Airport,47.4647,8.54917,Negative
31242618,-9.5588756358382,Lisbon Portela Airport,38.7813,-9.13592,Negative
30208810,-26.773775597251266,Copenhagen Airport,55.6179,12.656,Negative
29625649,-2.2931143213098895,Palma de Mallorca Airport,39.5517,2.73881,Negative
28945027,-25.882373507545875,Milan-Malpensa Airport,45.6306,8.72811,Negative
28475439,-21.368962915725373,Oslo Airport,60.1939,11.1004,Negative
26417507,-28.1625817303654,Brussels Airport (Zaventem Airport),50.9014,4.48444,Negative
25797320,-28.330156000700846,Stockholm Arlanda Airport,59.6519,17.9186,Negative
25572131,-4.732812451179763,Athens International Airport (Eleftherios Venizelos Airport),37.9364,23.9445,Negative
25496594,-36.99867519559671,Dusseldorf Airport,51.2895,6.76678,Negative
22008010,-41.024390665035135,Helsinki Airport (Helsinki-Vantaa Airport),60.3172,24.9633,Negative
19611331,-5.53080767440007,Malaga Airport,36.6749,-4.49911,Negative
18855111,-23.595284058523973,Warsaw Chopin Airport,52.1657,20.9671,Negative
17857519,-21.395094133737167,Geneva Airport,46.2381,6.10895,Negative
17796640,-39.744586618597666,Vaclav Havel Airport Prague,50.1008,14.26,Negative
17340757,-36.02088420938025,Hamburg Airport,53.6304,9.98823,Negative
16129263,-24.687767816793613,Budapest Ferenc Liszt International Airport,47.4298,19.2611,Negative
15004224,-11.392191958744418,Alicante-Elche Airport,38.2822,-0.558156,Negative
14702115,-14.312750240356575,Bucharest Henri Coandă International Airport,44.5711,26.085,Negative
14501172,-16.327397537247336,Nice Cote d'Azur Airport,43.6584,7.21587,Negative
13814943,-36.972696883367526,Ankara Esenboğa Airport,40.1281,32.995,Negative
13814943,-36.972696883367526,Esenboga International Airport,40.1281,32.9951,Negative
13164539,-5.625704021994238,Gran Canaria Airport,27.9319,-15.3866,Negative
13071188,-3.3485250154767874,Francisco Sá Carneiro Airport,41.2356,-8.67806,Negative
13071188,-3.3485250154767874,Francisco de Sa Carneiro Airport,41.2481,-8.68139,Negative
12735648,-45.156657910143245,Stuttgart Airport,48.6899,9.22196,Negative
12378799,-29.282493398592223,Cologne Bonn Airport,50.8659,7.14274,Negative
11772115,-27.18455434728594,Lyon-Saint-Exupery Airport,45.7256,5.08111,Negative
11558024,-19.353723439231484,Venice Marco Polo Airport,45.5053,12.3519,Negative
11422145,73.70271520804542,Berlin Brandenburg Airport,52.3514,13.4939,Positive
11422145,73.70271520804542,Berlin Schonefeld Airport,52.38,13.5225,Positive
10867628,0.45692583515004376,Naples International Airport,40.886,14.2908,Positive
10240389,-1.3315998054370786,Catania-Fontanarossa Airport,37.4668,15.0664,Negative
10178929,-10.125230267349345,Marseille Provence Airport,43.4393,5.22142,Negative
9671755,-27.103312687304427,Toulouse-Blagnac Airport,43.6291,1.36382,Negative
9488471,-9.668206816461788,Bologna Guglielmo Marconi Airport,44.5354,11.2887,Negative
9003516,-9.406491863845192,Faro Airport,37.0144,-7.96591,Negative
8406388,-12.0660502465506,John Paul II International Airport Krakow-Balice,50.0777,19.7848,Negative
8400600,-3.383496416922601,Valencia Airport,39.4893,-0.481625,Negative
8370467,-28.377628153841357,Larnaca International Airport,34.8751,33.6249,Negative
8196648,0.7398634173384047,Brussels South Charleroi Airport,50.4592,4.45382,Positive
8138923,1.0988554628173777,Ibiza Airport,38.8729,1.37312,Positive
7843587,0.9539767965855418,Heraklion International Airport (Nikos Kazantzakis Airport),35.3397,25.1803,Positive
7786572,-31.03960253626371,Riga International Airport,56.9236,23.9711,Negative
7722892,-25.888345971949366,Bordeaux-Merignac Airport,44.8283,-0.715556,Negative
7522776,-8.999164670063285,Seville Airport,37.418,-5.89311,Negative
7318357,-19.862641300499554,Malta International Airport (Luqa Airport),35.8575,14.4775,Negative
7288449,1.2533393593067605,Lanzarote Airport,28.9455,-13.6052,Positive
7261749,-20.12665268380937,Nantes Atlantique Airport,47.1532,-1.61073,Negative
7222376,-15.589301913940787,Keflavík International Airport,63.985,-22.6056,Negative
7085918,-16.060135045310997,Sofia Airport,42.6967,23.4114,Negative
7081820,1.5268815078609737,Falcone-Borsellino Airport (Punta Raisi Airport),38.176,13.091,Positive
6785139,-6.558848683866314,Eindhoven Airport,51.4501,5.37453,Negative
6722238,-33.69238042449553,Goteborg Landvetter Airport,57.6628,12.2798,Negative
6679059,-10.976426469656879,Thessaloniki Airport,40.5197,22.9709,Negative
6344289,-7.353779123239815,Bergen Airport,60.2934,5.21814,Negative
6312402,-37.24314452723385,Hannover Airport,52.4611,9.68508,Negative
6159018,-8.905494349910976,Belgrade Nikola Tesla Airport,44.8184,20.3091,Negative
5860179,-10.982190134465176,Bilbao Airport,43.3011,-2.91061,Negative
5630136,0.532651431510713,Fuerteventura Airport,28.4527,-13.8638,Positive
5602057,11.861071745610586,Bari Karol Wojtyla Airport,41.1389,16.7606,Positive
5382937,-16.276950668380476,Pisa International Airport (Galileo Galilei Airport),43.6839,10.3927,Negative
5362727,-14.959627816221113,Gdansk Lech Walesa Airport,54.3776,18.4662,Negative
5297297,11.341897575310577,Rhodes International Airport,36.4054,28.0862,Positive
5243029,-19.391271724798777,Adana Sakirpasa Airport,36.9822,35.2804,Negative
5006534,-21.858395448827473,Vilnius Airport,54.6341,25.2858,Negative
4926232,-7.516393868579474,Dalaman Airport,36.7131,28.7925,Negative
4849873,-8.665216594331438,Katowice International Airport,50.4743,19.08,Negative
4788991,-7.3297694650083915,Cagliari Elmas Airport,39.2515,9.05428,Negative
4382748,-11.480605318854746,Trondheim Airport,63.4578,10.924,Negative
4364168,-7.066386995184421,Luxembourg Findel Airport,49.6233,6.20444,Negative
4360553,-10.06200360367137,Milas-Bodrum Airport,37.2506,27.6643,Negative
4109497,-20.498786104479453,Nuremberg Airport,49.4987,11.0781,Negative
4058668,-17.72150370515647,Stavanger Airport,58.8767,5.63778,Negative
3985032,6.143187808780456,Turin Airport (Caselle Airport),45.2008,7.64963,Positive
3774848,-15.565633371197993,Trabzon Airport,40.9951,39.7897,Negative
3720836,-0.36741742984641085,Billund Airport,55.7403,9.15178,Negative
3643776,-18.05160361119893,Verona Villafranca Airport,45.3957,10.8885,Negative
3548073,-18.9106875760448,Copernicus Airport Wroclaw,51.1027,16.8858,Negative
3477228,13.312184303128813,Menorca Airport (Mahon Airport),39.8626,4.21865,Positive
3424428,-9.131656440141244,Zagreb Airport,45.7429,16.0688,Negative
3307899,-12.130086196706731,Split Airport,43.5389,16.298,Negative
3258323,-16.167427231738536,Tallinn Airport (Lennart Meri Tallinn Airport),59.4133,24.8328,Negative
3250239,-18.957559736376307,Treviso-Sant'Angelo Airport,45.6484,12.1944,Negative
3124078,20.338448655891433,Corfu International Airport (Ioannis Kapodistrias Int'l Airport),39.6019,19.9117,Positive
3104275,0.6658237430640005,Warsaw Modlin Airport,52.4511,20.6518,Positive
3062289,26.484404313244113,Madeira Airport,32.6979,-16.7745,Positive
3041663,4.477550603074699,Paphos International Airport,34.718,32.4857,Positive
3010106,-11.625238446752373,Lamezia Terme International Airport,38.9054,16.2423,Negative
2935423,7.70894007439473,Olbia Costa Smeralda Airport,40.8987,9.51763,Positive
2924070,-9.435512829720219,Cluj-Napoca International Airport,46.7852,23.6862,Negative
2906081,-26.03723020796736,Dubrovnik Airport,42.5614,18.2682,Negative
2886003,14.12198809218147,Santiago de Compostela Airport,42.8963,-8.41514,Positive
2869990,-42.93269314527228,Burgas Airport,42.5696,27.5152,Negative
2865236,15.471046713080527,Chania International Airport,35.5317,24.1497,Positive
2861616,-22.273917954051136,Florence Airport,43.81,11.2051,Negative
2728143,13.720358500269231,Brindisi - Salento Airport,40.6576,17.947,Positive
2717583,-4.91444051570826,Dortmund Airport,51.5183,7.61224,Negative
2624509,-40.64329747011727,Leipzig/Halle Airport,51.4239,12.2364,Negative
2585466,-13.421603687691116,Cork Airport,51.8413,-8.49111,Negative
2580427,9.529856880276016,Kos Island International Airport,36.7933,27.0917,Positive
2558456,-16.72985581929101,Pointe-a-Pitre International Airport (Le Raizet Airport),16.2653,-61.5318,Negative
2526533,-7.940248554046198,Gaziantep Oguzeli International Airport,36.9472,37.4787,Negative
2523823,-5.590407885180538,Roland Garros Airport,-20.8871,55.5103,Negative
2468255,-2.539324340475356,Tromse Airport,69.6833,18.9189,Negative
2379283,-6.606570130581356,Poznań–Ławica Henryk Wieniawski Airport,52.421,16.8263,Negative
2353327,-9.277886158617141,Skopje Alexander the Great Airport,41.9616,21.6214,Negative
2331364,1.1493700683376769,Erkilet International Airport,38.7704,35.4954,Positive
2309292,-35.36278651638684,Bremen Airport,53.0475,8.78667,Negative
2290237,-38.59657319308002,M. R. Stefanik Airport,48.1702,17.2127,Negative
2232704,24.644198245714612,Santorini (Thira) National Airport,36.3992,25.4793,Positive
2195977,-18.764996172546432,Lille Airport (Lille-Lesquin Airport),50.5633,3.08689,Negative
2111570,0.6392873549065388,Rotterdam The Hague Airport,51.9569,4.43722,Positive
2096504,-14.788094847422183,Martinique Aime Cesaire International Airport,14.591,-61.0032,Negative
2088398,-28.661873838224324,Varna Airport,43.2321,27.8251,Negative
2056285,-16.108078403528694,Sandefjord Airport,59.1867,10.2586,Negative
2007233,-10.684310192189946,Bodo Airport,67.2692,14.3653,Negative
1936987,-9.07486730680175,Montpellier-Mediterranee Airport (Frejorgues Airport),43.5762,3.96301,Negative
1921240,-31.80159688534488,Girona-Costa Brava Airport,41.901,2.76055,Negative
1890208,9.741150180297618,Joao Paulo II Airport,37.7412,-25.6979,Positive
1785983,-6.140260013673142,Diyarbakir Airport,37.8939,40.201,Negative
1731428,-28.121296409668783,Salzburg Airport,47.7933,13.0043,Negative
1720491,-43.68985365224229,Ljubljana Joze Pucnik Airport (Brnik Airport),46.2237,14.4576,Negative
1719233,15.649885733929025,Memmingen Airport,47.9888,10.2395,Positive
1694087,12.50697278238957,Zakynthos International Airport (Dionysios SolomosAirport),37.7509,20.8843,Positive
1619209,2.6818650340999834,Ajaccio Napoleon Bonaparte Airport,41.9236,8.80292,Positive
1616085,-12.012239455226673,Shannon Airport,52.702,-8.92482,Negative
1597319,-24.89039446722915,Timisoara Traian Vuia International Airport,45.8099,21.3379,Negative
1596944,-47.548129427205964,Dresden Airport,51.1328,13.7672,Negative
1595629,-13.750188797019858,Frankfurt-Hahn Airport,49.9487,7.26389,Negative
1559969,-4.51714104575155,Bastia - Poretta Airport,42.5527,9.48373,Negative
1545300,-20.24590694363554,Genoa Cristoforo Colombo Airport,44.4133,8.8375,Negative
1493772,-19.239415386016073,Samsun-Carsamba Airport,41.2545,36.5671,Negative
1482614,-11.232323450338388,La Palma Airport,28.6265,-17.7556,Negative
1480689,15.557284480400678,Mykonos Island National Airport,37.4351,25.3481,Positive
1443994,-7.209655995800536,Aalborg Airport,57.0928,9.84924,Negative
1413983,-7.271445271972859,Van Ferit Melen Airport,38.4682,43.3323,Negative
1409701,4.951333651604135,Asturias Airport (Oviedo Airport),43.5636,-6.03462,Positive
1393293,10.237401608993943,Alghero-Fertilia Airport,40.6321,8.29077,Positive
1361266,-52.55982298830647,Tivat Airport,42.4047,18.7233,Negative
1348515,-26.911528607394057,A Coruna Airport,43.3021,-8.37726,Negative
1337565,-2.4668707688972122,Karlsruhe/Baden-Baden Airport,48.7794,8.0805,Negative
1312611,17.050291365834966,Iasi International Airport,47.1785,27.6206,Positive
1291535,-2.227581908349367,Podgorica Airport,42.3594,19.2519,Negative
1290237,-27.765829068612973,Strasbourg Airport,48.5383,7.62823,Negative
1260889,-37.13554484177434,Brest Bretagne Airport,48.4479,-4.41854,Negative
1255356,-26.009594091237865,Federico Garcia Lorca Airport (Granada Jaen Airport),37.1887,-3.77736,Negative
1231537,-15.808619635463653,Weeze Airport (Niederrhein Airport),51.6024,6.14217,Negative
1213980,-12.819733438771644,Hatay Airport,36.3628,36.2822,Negative
1171426,-5.621780633177,Santander Airport,43.4271,-3.82001,Negative
1163194,-21.58522138181593,Lulea Airport (Kallax Airport),65.5438,22.122,Negative
1159565,-0.9494077520449479,Kaunas International Airport,54.9639,24.0848,Negative
1155096,-19.453361452208302,Alesund Airport,62.5625,6.1197,Negative
1151272,-36.878947807294885,Innsbruck Airport (Kranebitten Airport),47.2602,11.344,Negative
1116586,-17.849408822965717,Jerez Airport (La Parra Airport),36.7446,-6.06011,Negative
1085922,-34.65147588869183,Gazipasa-Alanya Airport,36.2992,32.3006,Negative
1073443,-20.949225995232165,Region de Murcia International Airport,37.803,-1.125,Negative
1066160,-12.620057027087867,Biarritz Pays Basque Airport,43.4683,-1.53111,Negative
1064917,-40.227548250239224,Oulu Airport,64.9301,25.3546,Negative
1063298,-30.43474171869034,Kristiansand Airport,58.2042,8.08537,Negative
1060719,-23.275532916823398,Ordu-Giresun Airport,40.966,38.081,Negative
1049248,-45.78660145170637,Graz Airport,46.9911,15.4396,Negative
1013248,-4.3468134158666,Vigo-Peinador Airport,42.2318,-8.62677,Negative
1010477,-20.225398499916373,Konya Airport,37.979,32.5619,Negative
995932,-12.901784459179943,Erzurum Airport,39.9565,41.1702,Negative
983321,-38.02379894256301,Umea Airport,63.7918,20.2828,Negative
979042,-14.221657497839724,Munster Osnabruck International Airport,52.1346,7.68483,Negative
966293,-26.958075863118125,Almeria Airport,36.8439,-2.3701,Negative
905153,-24.509779009736476,Elazig Airport,38.6069,39.2914,Negative
854848,-25.48464756307554,Rennes-Saint-Jacques Airport,48.0695,-1.73479,Negative
807304,36.702902500173415,Zadar Airport,44.1083,15.3467,Positive
805443,-11.90686367626263,Ireland West Airport Knock,53.9103,-8.81849,Negative
782844,-10.872664285604795,Trieste - Friuli Venezia Giulia Airport,45.8275,13.4722,Negative
779627,6.2676125890970935,Harstad/Narvik Airport,68.4913,16.6781,Positive
773454,-48.5697921272629,Pula Airport,44.8935,13.9222,Negative
